,$,ident,),(,null,string_constant,float_constant,int_constant,%,/,*,-,+,!=,==,>=,<=,>,<,new,;,for,else,if,ident_func,return,read,print,",",=,],[,string,float,int,break,},{,def
PROGRAM,PROGRAM → ε,PROGRAM → STATEMENT,,,,,,,,,,,,,,,,,,,PROGRAM → STATEMENT,PROGRAM → STATEMENT,,PROGRAM → STATEMENT,,PROGRAM → STATEMENT,PROGRAM → STATEMENT,PROGRAM → STATEMENT,,,,,PROGRAM → STATEMENT,PROGRAM → STATEMENT,PROGRAM → STATEMENT,PROGRAM → STATEMENT,,PROGRAM → STATEMENT,PROGRAM → FUNCLIST
FUNCLIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCLIST → FUNCDEF FUNCLIST'
FUNCLIST',FUNCLIST' → ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCLIST' → FUNCLIST
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → def ident_func ( PARAMLIST ) { STATELIST }
PARAMLIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMLIST → VARTYPE PARAMLIST',PARAMLIST → VARTYPE PARAMLIST',PARAMLIST → VARTYPE PARAMLIST',,,,
PARAMLIST',,PARAMLIST' → ident PARAMLIST'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMLIST'',,,PARAMLIST'' → ε,,,,,,,,,,,,,,,,,,,,,,,,,,"PARAMLIST'' → , PARAMLIST",,,PARAMLIST'' → [ PARAMLIST''',,,,,,,
PARAMLIST''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMLIST''' → ] PARAMLIST'''',,,,,,,,
PARAMLIST'''',,,PARAMLIST'''' → ε,,,,,,,,,,,,,,,,,,,,,,,,,,"PARAMLIST'''' → , PARAMLIST",,,,,,,,,,
STATEMENT,,STATEMENT → ATRIBSTAT ;,,,,,,,,,,,,,,,,,,,STATEMENT → ;,STATEMENT → FORSTAT,,STATEMENT → IFSTAT,,STATEMENT → RETURNSTAT ;,STATEMENT → READSTAT ;,STATEMENT → PRINTSTAT ;,,,,,STATEMENT → VARDECL ;,STATEMENT → VARDECL ;,STATEMENT → VARDECL ;,STATEMENT → break ;,,STATEMENT → { STATELIST },
VARTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARTYPE → string,VARTYPE → float,VARTYPE → int,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → [ int_constant ] ARRAYSIZE',,,,,,,
ARRAYSIZE',,,,,,,,,,,,,,,,,,,,,ARRAYSIZE' → ε,,,,,,,,,,,ARRAYSIZE' → ARRAYSIZE,,,,,,,
ARRAYSIZEEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZEEXP → [ NUMEXPRESSION ] ARRAYSIZEEXP',,,,,,,
ARRAYSIZEEXP',,,ARRAYSIZEEXP' → ε,,,,,,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,,ARRAYSIZEEXP' → ε,,,,,,,,,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ε,ARRAYSIZEEXP' → ARRAYSIZEEXP,,,,,,,
